date,code_id,option_type,K,T,sigma_bsm
2016-07-11,10000641,C,2.2,2016-07-27,0.24338171534309241
2016-07-12,10000641,C,2.2,2016-07-27,0.02712908914652219
2016-07-13,10000643,C,2.25,2016-07-27,0.24299744461397216
2016-07-14,10000643,C,2.25,2016-07-27,0.014563961517690752
2016-07-15,10000643,C,2.25,2016-07-27,0.24307678260341786
2016-07-18,10000643,C,2.25,2016-07-27,-0.003963804868590368
2016-07-19,10000643,C,2.25,2016-07-27,0.04048008869607136
2016-07-20,10000643,C,2.25,2016-07-27,0.051000045050072086
2016-07-21,10000643,C,2.25,2016-07-27,0.03858900377614192
2016-07-22,10000643,C,2.25,2016-07-27,0.06414349616899873
2016-07-25,10000643,C,2.25,2016-07-27,0.09790772251944208
2016-07-26,10000655,C,2.25,2016-08-24,0.24240766918798648
2016-07-27,10000649,C,2.2,2016-08-24,0.24396925949353823
2016-07-28,10000649,C,2.2,2016-08-24,0.24521042313454938
2016-07-29,10000649,C,2.2,2016-08-24,0.2451781982554797
2016-08-01,10000649,C,2.2,2016-08-24,0.2440193208970537
2016-08-02,10000649,C,2.2,2016-08-24,0.24457882518217433
2016-08-03,10000649,C,2.2,2016-08-24,0.24368513707857783
2016-08-04,10000649,C,2.2,2016-08-24,0.24329625140891545
2016-08-05,10000649,C,2.2,2016-08-24,0.24458098927338248
2016-08-08,10000649,C,2.2,2016-08-24,0.2451649259815199
2016-08-09,10000649,C,2.2,2016-08-24,0.01511100813668926
2016-08-10,10000649,C,2.2,2016-08-24,0.012000892533182424
2016-08-11,10000649,C,2.2,2016-08-24,0.018552144756521463
2016-08-12,10000654,P,2.2,2016-08-24,0.06614879000170087
2016-08-15,10000654,P,2.2,2016-08-24,0.031363643999999996
2016-08-16,10000665,C,2.35,2016-08-24,0.05414170695235103
2016-08-17,10000665,C,2.35,2016-08-24,0.06465978786553864
2016-08-18,10000665,C,2.35,2016-08-24,0.07697531056149912
2016-08-19,10000599,C,2.3,2016-09-28,0.24527670276746116
2016-08-22,10000599,C,2.3,2016-09-28,0.244189461775615
2016-08-23,10000599,C,2.3,2016-09-28,0.2452480777732922
2016-08-24,10000599,C,2.3,2016-09-28,0.24297143816247851
2016-08-25,10000599,C,2.3,2016-09-28,-0.49207673259962414
2016-08-26,10000599,C,2.3,2016-09-28,-0.12430835239709792
2016-08-29,10000599,C,2.3,2016-09-28,-0.03125502035410742
2016-08-30,10000599,C,2.3,2016-09-28,0.2414199067580846
2016-08-31,10000599,C,2.3,2016-09-28,0.24332884703230695
2016-09-01,10000599,C,2.3,2016-09-28,-0.05828079798640408
2016-09-02,10000599,C,2.3,2016-09-28,0.2410204389356036
2016-09-05,10000599,C,2.3,2016-09-28,0.24255097941317658
2016-09-06,10000599,C,2.3,2016-09-28,0.243634476081383
2016-09-07,10000599,C,2.3,2016-09-28,0.24424114597055813
